title,org,tender_description,opening_date,n_bids_declared,bid_number,bidder_name,currency,bid_amount,category,created_date,pdf_url,detail_url
Procurement Of A Home Care Information System Dict/Home Care Agency – Financial  Opening,DICT /SEYCHELLES HOME CARE AGENCY,PROCUREMENT OF A HOME CARE INFORMATION SYSTEM DICT/HOME CARE AGENCY – FINANCIAL OPENING,14th JANUARY 2026 AT: 10:00 HRS,2,3.0,SPACE 95,SR,843000.0,Transport,15 January 2026.,https://www.ntb.sc/media/tender-files/PROCUREMENT_INFROMATION_SYTEM-_FINANCIAL.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/procurement-of-a-home-care-information-system-dict-home-care-agency-financial-opening
Procurement Of A Home Care Information System Dict/Home Care Agency – Financial  Opening,DICT /SEYCHELLES HOME CARE AGENCY,PROCUREMENT OF A HOME CARE INFORMATION SYSTEM DICT/HOME CARE AGENCY – FINANCIAL OPENING,14th JANUARY 2026 AT: 10:00 HRS,2,4.0,DATABYTES CONSULTANCY LTD,SR,462421.0,Transport,15 January 2026.,https://www.ntb.sc/media/tender-files/PROCUREMENT_INFROMATION_SYTEM-_FINANCIAL.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/procurement-of-a-home-care-information-system-dict-home-care-agency-financial-opening
Provision Bus Services For The Transportation Of Primary School Students To And From Swimming Programme For 2026,MINISTRY OF EDUCATION,"PROVISION BUS SERVICES FOR THE TRANSPORTATION OF PRIMARY SCHOOL STUDENTS TO AND FROM SWIMMING PROGRAMME FOR 2026- LOT 1 (ANSE AUX PINS, LA MISERE & CASCADE TERM 1)",13th JANUARY 2026 10:00 HRS,3,,,,,Education,15 January 2026.,https://www.ntb.sc/media/tender-files/Bus__services_for__the__for_swimming_programme-2026.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/provision-bus-services-for-the-transportation-of-primary-school-students-to-and-from-swimming-programme-for-2026
Resurfacing and Maintenance of the Existing Slipway at the Seychelles International Airport,Seychelles Airport Authority,Resurfacing and Maintenance of the Existing Slipway at the Seychelles International Airport,30th DECEMBER 2025 AT: 10:00 HRS,3,1.0,UNIQUE ENG.,SR,144500.0,Roads & seawalls,31 December 2025.,https://www.ntb.sc/media/tender-files/RESURFACING__AND_MAINTENANCE_OF_THE_EXISTING_SLIP_WAY_AT_THE_SIA.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/resurfacing-and-maintenance-of-the-existing-slipway-at-the-seychelles-international-airport
Resurfacing and Maintenance of the Existing Slipway at the Seychelles International Airport,Seychelles Airport Authority,Resurfacing and Maintenance of the Existing Slipway at the Seychelles International Airport,30th DECEMBER 2025 AT: 10:00 HRS,3,2.0,NEIL’S CONSTRUCTION,SR,103730.0,Roads & seawalls,31 December 2025.,https://www.ntb.sc/media/tender-files/RESURFACING__AND_MAINTENANCE_OF_THE_EXISTING_SLIP_WAY_AT_THE_SIA.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/resurfacing-and-maintenance-of-the-existing-slipway-at-the-seychelles-international-airport
Resurfacing and Maintenance of the Existing Slipway at the Seychelles International Airport,Seychelles Airport Authority,Resurfacing and Maintenance of the Existing Slipway at the Seychelles International Airport,30th DECEMBER 2025 AT: 10:00 HRS,3,3.0,ALLIED BUILDERS,SR,153503.16,Roads & seawalls,31 December 2025.,https://www.ntb.sc/media/tender-files/RESURFACING__AND_MAINTENANCE_OF_THE_EXISTING_SLIP_WAY_AT_THE_SIA.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/resurfacing-and-maintenance-of-the-existing-slipway-at-the-seychelles-international-airport
Repainting Of Exterior Walling at the Seychelles International Airport,SEYCHELLES AIRPORT AUTHORITY,REPAINTING OF EXTERIOR WALLING AT THE SEYCHELLES INTERNATIONAL AIRPORT,30th DECEMBER 2025 AT: 10:00 HRS,3,1.0,ALLIED BUILDERS,SR,242360.0,Maritime,31 December 2025.,https://www.ntb.sc/media/tender-files/repainting_of_exterior_walling_at_the_SIA.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/repainting-of-exterior-walling-at-the-seychelles-international-airport
Repainting Of Exterior Walling at the Seychelles International Airport,SEYCHELLES AIRPORT AUTHORITY,REPAINTING OF EXTERIOR WALLING AT THE SEYCHELLES INTERNATIONAL AIRPORT,30th DECEMBER 2025 AT: 10:00 HRS,3,2.0,HARI BUILDERS PTY LTD,SR,324570.0,Maritime,31 December 2025.,https://www.ntb.sc/media/tender-files/repainting_of_exterior_walling_at_the_SIA.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/repainting-of-exterior-walling-at-the-seychelles-international-airport
Repainting Of Exterior Walling at the Seychelles International Airport,SEYCHELLES AIRPORT AUTHORITY,REPAINTING OF EXTERIOR WALLING AT THE SEYCHELLES INTERNATIONAL AIRPORT,30th DECEMBER 2025 AT: 10:00 HRS,3,3.0,UNIQUE ENG.,SR,116557.5,Maritime,31 December 2025.,https://www.ntb.sc/media/tender-files/repainting_of_exterior_walling_at_the_SIA.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/repainting-of-exterior-walling-at-the-seychelles-international-airport
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,1.0,PRIME BUILDERS,SR,2029479.0,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,2.0,RHS CONSTRUCTION,SR,1955802.5,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,3.0,FATEH CONSTRUCTION,SR,1622958.0,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,4.0,RAAHAT BUILDERS,SR,1584321.6,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,5.0,"FAIR BUILDERS
CONSTRUCTION",SR,2068693.25,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,6.0,BHAKTI BUILDERS,SR,2216327.1,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
Renovation Works at Bel Ombre Primary School,SEYCHELLES INFRASTRUCTURE AGENCY,RENOVATION WORKS AT BEL OMBRE PRIMARY SCHOOL,,7,7.0,"DONALD BUILDING &
CONTRACTOR PTY LTD",SR,2089861.93,Infrastructure,31 December 2025.,https://www.ntb.sc/media/tender-files/renovation_works_at_bel_ombre__primary_school.pdf,https://www.ntb.sc/tenders/minutes-of-tenders/renovation-works-at-bel-ombre-primary-school
