period,org,description,winner,sr_value,currency,foreign_amount,amount_raw,category
Tender Award (NOVEMBER– DECEMBER 2024),,Civil Works for the Laying of Tartan Track at Stad Linite Seychelles Infrastructure Agency Benoiton Construction,,502190.63,SR,,"SR502,190.63",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Archive at Palais de Justice Seychelles Infrastructure Agency Modern Construction,,3337451.8,SR,,"SR3,337,451.80",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Sorento Landbank Water Supply Project Public Utilities Corporation Adams Construction,,2746617.5,SR,,"SR2,746,617.50",Utilities
Tender Award (NOVEMBER– DECEMBER 2024),,Renovation Works On Two blocks of Six Units At Les Mamelles Housing Estate Property Management Corporation XT Design & Build,,1190859.46,SR,,"SR1,190,859.46",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,Renovation Works On One Block of 14 Units At Les Mamelles Housing Estate Property Management Corporation XT Design & Build,,971365.23,SR,,"SR971,365.23",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Vehicles - Toyota Taisor-V Grade x 3 Landscape & Waste Management Agency Abhaye Valabhji (Pty) Ltd,,1095000.0,SR,,"SR1,095,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Vehicles - Toyota Hilux x 1 Landscape & Waste Management Agency Abhaye Valabhji (Pty) Ltd,,995000.0,SR,,"SR995,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Mini Buses for Staff and Equipment Transportation x 2 Public Utilities Corporation Abhaye Valabhji Pty Ltd,,1010000.0,SR,,"SR1,010,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Supply of HDPE (High Density Polyethene) Double Wall Corrugated (DWC) Ducts Public Utilities Corporation MG Worlwide Pvt. Ltd,,,USD,159400.0,"USD159,400.00",Utilities
Tender Award (NOVEMBER– DECEMBER 2024),,Surfacing of Roads at Cap Samy Baie Ste Anne Praslin Agriculture Department Seychelles Land Transport Agency,,1200000.0,SR,,"SR1,200,000.00",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Proposed Renovations of the North East Point Hospital Seychelles Infrastructure Agency Thunder Construction Pty Ltd,,14759644.53,SR,,"SR14,759,644.53",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Youth Hope Residential Village at Bon Espoire Seychelles Infrastructure Agency Furui Construction,,65382955.95,SR,,"SR65,382,955.95",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of 16 Affordable Housing Units at Hangard Street Mont Buxton Seychelles Infrastructure Agency Dean Builders,,13685208.3,SR,,"SR13,685,208.30",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,Partitioning Work At The New SBC House Seychelles Broadcasting Corporation Metaluco Sey (Pty) Ltd),,2902329.0,SR,,"SR2,902,329.00",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Supply of HDPE Pipes For Potable Water Solutions Public Utilities Corporation Perficient Global Trading FZ LLC,,,AED,241005.0,"AED 241,005.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Third Lane At Pointe Larue From Airport To Amalgamated Tobacco Phase 2 Seychelles Land Transport Agency Dubai Civil Engineering & Construction,,18442581.86,SR,,"SR18,442,581.86",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Climate Change Department CRISIL Limited (India),,,USD,40000.0,"USD40,000.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Mini Buses for Staff and Equipment Transportation x 2 Public Utilities Corporation Abhaye Valabhji Pty Ltd,,1010000.0,SR,,"SR1,010,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of 16 Affordable Housing Units at Hangard Street Mont Buxton Seychelles Infrastructure Agency Dean Builders,,13685208.3,SR,,"SR13,685,208.30",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,Surfacing of Roads at Cap Samy Baie Ste Ane Praslin Agriculture Department Seychelles Land Transport Agency,,1200000.0,SR,,"SR1,200,000.00",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,"Construction of 1x2 Bedroom House at Maldives, Anse Etoile Seychelles Infrastructure Agency (Ministry Lands and HPC Construction",,689240.0,SR,,"SR 689,240.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Construction of Two(2) Stone Masonry Retaining Wall at Quatre Bornes, Takamaka Seychelles Infrastructure Agency Neil's Construction",,699030.0,SR,,"SR 699,030.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Renovation of Roof, Ceiling and Eaves Soffits in CID Block, Mont Fleuri Police Station (SIA/MF/MIA/P2024 Seychelles Infrastructure Agency (Dept. of Police) Amico Investment",,297953.45,SR,,"SR 297,953.45",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Construction of Retaining Wall and Motorable Access at La Retraite Housing Estate, Anse Etoile Seychelles Infrastructure Agency (Ministry of Local Esparon Enterprise",,838925.0,SR,,"SR 838,925.00",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,"Construction of Motorable Access Road & Drainage at Nouvelle Vale, Beau Vallon (SIA/BV/MLG/M2024 (86) Seychelles Infrastructure Agency (Ministry of Local XT Design & Build",,279400.0,SR,,"SR 279,400.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Renovation Works on Doctors House - Phase 2, Anse Boileau Seychelles Infrastructure Agency (Health Care Agency) Rafa Builders",,631049.0,SR,,"SR 631,049.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Repair of Defective Concrete Work at Anse Royale Secondary School (SIA-AR-MEHRD-E 2023 (7) SIA 201) Seychelles Infrastructure Agency (Ministry of Education) Randolph Maintenance,,540163.75,SR,,"SR 540,163.75",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Contract Extension- Painting Works at Grand Anse Praslin Health Centre (SIA-GAP-MHSA-H2024 (22) SIA Seychelles Infrastructure Agency (Ministry of Education) Randolph Maintenance,,264800.0,SR,,"SR 264,800.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Upgrading of Court ad playing Field at Union Vale English River (SIA/ER/MLG/M2024 (23) SIA 282) Seychelles Infrastructure Agency (Ministry of Local KP Construction,,841191.2,SR,,"SR 841,191.20",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Re-Enforcement of Existing Retaining Wall Dan Koko Bel Air (SIA/BA/MLG/M2024) Seychelles Infrastructure Agency (Ministry of Local RHS Construction,,542875.0,SR,,"SR 542,875.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Construction of Footpath, Steps and Railing at Upper Beoliere, Port Glaud (SIA/PG/MLG/M2024 (25) SIA- Seychelles Infrastructure Agency (Ministry of Local Sekhel Construction",,54722.5,SR,,"SR 54,722.50",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Additional Toilets and Repair of Structural Defects at Beau Vallon Primary School Seychelles Infrastructure Agency (Ministry of Education) Amar Construction,,790970.0,SR,,"SR 790,970.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Re-Roofing on the 3x3 Bedrooms Semi Detached Blocks at Takamaka (ID 3032) Seychelles Infrastructure Agency DDL Builders,,654590.0,SR,,"SR 654,590.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Landscaping Work on Playing Field at Saint Louis (SIA-SL-MLG-M2024 (81) SIA 436) Seychelles Infrastructure Agency (Ministry of Local S and J Landscaping,,477500.0,SR,,"SR 477,500.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Changing Room and Seating Facilities at Saint Louis (SIA-BV-MEHRD-E2024 (18) SIA 434 - Seychelles Infrastructure Agency (Ministry of Local DDL Builders,,614722.25,SR,,"SR 614,722.25",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Re-Tiling Works at the main Lobby of the Seychelles National Assembly Building - Ile du Port (SIA-PERS- Seychelles Infrastructure Agency (National Assembly) Allied Builders (Seychelles),,835832.65,SR,,"SR 835,832.65",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Request for Additional Works - Construction Drain at Upper Pointe Aux Sel, Au Cap Seychelles Land Transport Agency Ultra Maintenance and Fabrication",,101589.5,SR,,"SR 101,589.50",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Stone Retaining Wall at Ma Joie (SLTA/PROJ/2870) Seychelles Land Transport Agency Isle Construction & Cleaning,,255893.0,SR,,"SR 255,893.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Construction of Shed for Fuel Dispenser and Thermic Oil Heating Area at SLTA's Office at Amitie, Praslin Seychelles Land Transport Agency Sunny Maintenance and Cleaning",,356850.0,SR,,"SR 356,850.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Retaining Wall at Pascal Village Seychelles Land Transport Agency Esparon's Enterprise,,492605.5,SR,,"SR 492,605.50",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,"Request for Additional Works- Road Improvement at Naiken Road, Mont Plaisir (SLTA/PROJ/2413) Seychelles Land Transport Agency Multifix Maintenance",,26783.8,SR,,"SR 26,783.80",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Construction of Concrete Hardshoulder at Iles de Palmes Domestic Praslin Airport Seychelles Civil Aviation Authority Allied Builders,,597103.15,SR,,"SR 597,103.15",Maritime
Tender Award (NOVEMBER– DECEMBER 2024),,"Major Renovation to Burnt House at Matata, Pointe Larue Property Management Corporation KP Construction",,393130.0,SR,,"SR 393,130.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Major Renovation to Burnt House at La Gogue Property Management Corporation KP Construction,,696315.0,SR,,"SR 696,315.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Re- Roofing Works to Burnt Roof of Two Units at Ile Perseverance 1 Property Management Corporation KP Construction,,330356.15,SR,,"SR 330,356.15",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Re-Roofing of Terraced Units at Roche Caiman Housing Estate. (LOT 2) Property Management Corporation XT Design & Build,,327743.25,SR,,"SR 327,743.25",Housing
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of 550 Units of Double Wire Fence Seychelles Land Transport Agency K&J Supplies,,705375.0,SR,,"SCR 705,375.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Spare Parts for Asphalt Roller Seychelles Land Transport Agency JV International,,,USD,17765.72,"USD 17,765.72",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Spare Parts for Asphalt Plant at Zone 20 Seychelles Land Transport Agency Ammann Kenzam,,,EUR,52511.6,"EUR 52,511.60",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Two (2) Vehicle Seychelles Land Transport Agency SF Hybrid Motors,,785000.0,SR,,"SCR 785,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of IT Equipment Central Procurement Unit ITECH Computers,,347760.0,SR,,"SCR 347,760.00",ICT
Tender Award (NOVEMBER– DECEMBER 2024),,TRM LAB - Forensics Financial Intelligence Unit TRM Labs Forensics,,,USD,24999.0,"USD 24,999.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Acquisition of Electrical Appliances for Hospitality - TVET Ministry of Education Abhaye Valabji,,446970.0,SR,,"SCR 446,970.00",Education
Tender Award (NOVEMBER– DECEMBER 2024),,Acquisition of IGCSE Textbooks for Secondary School with Mallory International Ministry of Education Mallory International LTD,,,GBP,21375.55,"GBP 21,375.55",Education
Tender Award (NOVEMBER– DECEMBER 2024),,Replace Network in Computer Rooms at Perseverance Secondary School Ministry of Education Caliban Holding LTD,,375544.0,SR,,"SCR 375,544.00",Education
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement to Purchase of Photocopy Machines for Assessment Division Ministry of Education Galaxy Systems PTY LTD,,448000.0,SR,,"SCR 448,000.00",Education
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of IT Equipment Ministry of Education Jeevan Computers,,595300.0,SR,,"SCR 595,300.00",Education
Tender Award (NOVEMBER– DECEMBER 2024),,Acquisition for Procurement of French Books additional cost Ministry Of Education A&Z ENTERPRISE,,70000.0,SR,,"SCR 70,000.00",Education
Tender Award (NOVEMBER– DECEMBER 2024),,Tender for the Supply and Sewing of Uniform for the Immigration Department Immigration & Civil Status Department JG's TAILORING & BOUTIQUE,,411630.0,SR,,"SCR 411,630.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Provision of Security Services for Baie Ste Anne Hospital & Grand Anse Praslin Clinic Health Care Agency Shield Security,,361670.4,SR,,"SCR 361,670.40",Health
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement for the Supply of One (1) Hybrid Car Seychelles Bureau of Standards Sun Motors,,368386.0,SR,,"SCR 368,386.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement for the Supply of One (1) Hybrid Car Seychelles Bureau of Standards Sun Motors,,368386.0,SR,,"SCR 368,386.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,"Procurement of a Suzuki Ertiga ZX1 Plus Division for Substance Abuse Prevention, Treatment & GTL Motors",,379000.0,SR,,"SCR 379,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,"Procurement of a Toyota Hiace Van 15 Seater Division for Substance Abuse Prevention, Treatment & Abhaye Valabhji PTY LTD",,575000.0,SR,,"SCR 575,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,"Procurement of Two (2) Boat Engine Ministry of Agriculture, Climate Change and Environment ACE Marine",,350000.0,SR,,"SCR 350,000.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,"Procurement of IT for the Online Hazardous Database Ministry of Agriculture, Climate Change and Environment DIGITECH",,511700.0,SR,,"SCR 511,700.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Additional Service of Electrical Contractor Seychelles Broadcasting Corporation GFM Maintenance,,499500.0,SR,,"SCR 499,500.00",Roads & seawalls
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement and Installation of Multibeam-Echo Sounder Seychelles Fishing Authority SEYCMI,,353151.2,SR,,"SCR 353,151.20",Fisheries
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement for a Pair of Suzuki Outboard Engine Police Department ACE Marine,,690000.0,SR,,"SCR 690,000.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,ASANA Platform Subscription Renewal Tourism Department OMTERA,,,USD,25000.0,"USD 25,000.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Recruitment of Copywriter Tourism Department Glynn Burridge,,25000.0,SR,,"SCR 25,000.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of One (1) MPV Agency for Social Protection Sun Motors LTD,,409000.0,SR,,"SCR 409,000.00",Energy
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Vehicle Development Bank of Seychelles Sun Motors LTD,,439000.0,SR,,"SCR 439,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of for The Records (FTR) System (Digital Recording Tools) Judiciary FOR THE RECORD,,,USD,43472.0,"USD 43,472.00",ICT
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Two (2) NOS Commercial Ride on Mowers National Sports Council Indian Ocean Export Company,,,ZAR,412676.88,"ZAR 412,676.88",Maritime
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of One (1) Vehicle National Sports Council Abhaye Valabji PTY LTD,,565000.0,SR,,"SCR 565,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of One SUV Ministry of Internal Affairs PMC Auto PTY LTD,,499000.0,SR,,"SCR 499,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of One (1) 7 Seater Vehicle National Council for Children Kim Koon Motors,,375000.0,SR,,"SCR 375,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of One (1) Vehicle Seychelles Prison Service Abhaye Valabhji,,575000.0,SR,,"SCR 575,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of One (1) SUV Employment Department Kim Koon,,440000.0,SR,,"SCR 440,000.00",Transport
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of High Voltage ABC Accessories (EDO/030/24) Public Utilities Corporation Sicamex,,,EUR,51215.0,"EUR 51,215.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Charger Air Cooler (EGR/014F/24) Public Utilities Corporation Engginium International FZC,,,EUR,51215.0,"EUR 51,215.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Metal Surge Arrestors (EDO/034/24) Public Utilities Corporation Automation & Power Products Ltd,,,USD,22160.0,"USD 22,160.00",Utilities
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Hot Dipper Galvanized Cross-Arm (EDO/035/24) Public Utilities Corporation Utilex Engineering Pvt Ltd,,,USD,35208.0,"USD 35,208.00",Energy
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Logistics Assistance from His Enterprise (Pty) Ltd For Repair To Undersea Cable To Cerf Public Utilities Corporation HIS Enterprise (Pty) Ltd,,587190.0,SR,,"SR 587,190.00",Maritime
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Sewage Pump and Spares (EDO/034/24) Public Utilities Corporation Blue Zone Mauritius Ltd,,,EUR,38833.0,"EUR 38,833.00",Utilities
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Spare Parts for W32 Sets EGR/016I/24 Public Utilities Corporation Engginium International FZC,,,EUR,43549.92,"EUR 43,549.92",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Air Ventilation Bag Filters (EGR/136/24) Public Utilities Corporation Engginium International FZC,,,EUR,31950.0,"EUR 31,950.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Circulating Flushing Oil Lubricant (EGR/14l/24) Public Utilities Corporation Texol Lubritech FZC,,,USD,26907.56,"USD 26,907.56",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Fuel and Lube Oil Filters (EGR/015I/24) Public Utilities Corporation Engginum International FZC,,,EUR,31500.0,"EUR 31,500.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Perforated Stainless-Steel Plates (EGR/134/24) Public Utilities Corporation Engginum International FZC,,,USD,45050.0,"USD 45,050.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Services Relating Refurbishment of Fuel Injection Valves and Nozzles (EGR/111/24) Public Utilities Corporation Enginium International FZC,,,EUR,20250.0,"EUR 20,250.00",Infrastructure
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement Of Single-Phase Meter Boxes ( E/DI/005/24) Public Utilities Corporation CAHORS MAEC SAS,,,EUR,53250.0,"EUR 53,250.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Charge Air Silencers (EGR/034A/24) Public Utilities Corporation Wartsila Global Logistics Services,,,EUR,27384.0,"EUR 27,384.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Spares for Wartsila Engine Sets (EGR/138/24 Public Utilities Corporation Stenflex Rudolf Stender GmbH,,,EUR,28996.87,"EUR 28,996.87",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Spare Parts for Wartsila Engines (EGR/014H/24) Public Utilities Corporation Enginium International FZC,,,EUR,41310.0,"EUR 41,310.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Personal Protective Equipment (PPES) Seychelles Civil Aviation Authority Virgo Trading Ltd,,,EUR,25926.0,"EUR 25,926.00",Other
Tender Award (NOVEMBER– DECEMBER 2024),,Procurement of Walkthrough Metal Detectors at SIA Seychelles Civil Aviation Authority Hi The Detection Systems France,,,EUR,27710.0,"EUR 27,710.00",Security
Tender Award (JANUARY – APRIL 2021),Public Transport Corporation,Procurement of Uniform for SPTC Staff – Termination of Lot 1,Sunny Ocean Ltd,1177600.0,SR,,"SR1,177,600.00",Other
Tender Award (JANUARY – APRIL 2021),"Truth, Reconciliation and National Unity Commission","Supply, Set-Up and Operation of Own Video and Audio Recording Equipment",Toulebox,7000.0,SR,,"SR7,000.00/day",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Spares for Stork Wartsila,Ruysch International BV,,,,"Euro 39,601.45",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of 11KV Medium Voltage XLPE Cables & Accessories,Nexans France,,,,"Euro 221,679.97",Other
Tender Award (JANUARY – APRIL 2021),Ministry of Foreign Affairs & Tourism,Procurement of Consultancy Services (Amendment in Contract sum),Mr Abdoulaye Sylla,23985.0,SR,,"SR 23,985",Consultancy
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Complete Filter Assembly and Accessories for Desalination Plants,German Gulf Enterprise Ltd,,,,"Euro 40,003.80",Infrastructure
Tender Award (JANUARY – APRIL 2021),Seychelles Ports Authority,Supply and Installation of Chain Link Fence at Zone 14,Adam & Son Pty Ltd,795396.8,SR,,"SR795,396.80.",Other
Tender Award (JANUARY – APRIL 2021),Ministry of Education,Acquisition of Container – Re-engineered Office Block,Meemar Building System FCZ,,USD,26925.0,"USD26,925.00",Infrastructure
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Copper Tubes,Optimus Global Trading FZ LLC,,AED,20126.0,"AED 20,126.00",Other
Tender Award (JANUARY – APRIL 2021),Police Department,Procurement of Vehicles x 14,Henri Fraise & Fils,5175000.0,SR,,"SR5,175,000.00",Transport
Tender Award (JANUARY – APRIL 2021),Ministry of Lands & Housing,Construction of 1 x 4 Bedroom House at Anse La Mouche Baie Lazare - Variations,CNC Maintenance Contractor,99205.0,SR,,"SR99,205.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Technical Services to undertake Crankpin & Main Journal Polishing of Wartsila Engine Set A21 at Roche Caiman,Wartsila Eastern Africa Ltd,,,,"Euro 6,977.00",Other
Tender Award (JANUARY – APRIL 2021),Ministry of Foreign Affairs & Tourism,Procurement of Consultancy Services,Mr Alain Butler Payet,25000.0,SR,,"SR25,000.00 /mth",Consultancy
Tender Award (JANUARY – APRIL 2021),Seychelles Ports Authority,Procurement of Works – Road Surfacing Work on Eve Island Annex – Baie Ste Anne Praslin,Seychelles Land Transport Agency,1100000.0,SR,,"SR1,100,000.00",Roads & seawalls
Tender Award (JANUARY – APRIL 2021),Seychelles Heritage Foundation,Procurement of Security Services for Domaine de Val Des Pres & Mission Lodge - Extension,Marpol Security,113966.43,SR,,"SR113,966.43 (1mth)",Security
Tender Award (JANUARY – APRIL 2021),Seychelles Fire & Rescue Services Agency,Procurement of Two Fire Tenders,Cobra Fire Pty Ltd,,USD,504535.0,"USD 504,535.00",Other
Tender Award (JANUARY – APRIL 2021),Department of Risk and Disaster Management,Procurement for the Development of the National Disaster Risk Reduction Strategic Plan 2015 – 2030,Ms Divina Sabino,168000.0,SR,,"SR168,000.00",Utilities
Tender Award (JANUARY – APRIL 2021),National Sports Council,Reinstatement of National Swimming Pool & Machinery and Equipment,Smart Tech Services/Import,612370.0,SR,,"USD108,746.30 SR612,370.00",Sports
Tender Award (JANUARY – APRIL 2021),Seychelles Police,Procurement of Police Uniform and Accessories,Stats Overseas India,,USD,34830.0,"USD34,830.00",Other
Tender Award (JANUARY – APRIL 2021),Seychelles Fisheries Authority,Procurement of Additional Security,Ace Security Pty Ltd,16297.0,SR,,"SR16,297.00 /mth",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurment of Consultancy Services for Technical Assessment of Power System on Mahe,Tracetebel Engineering Gmbh,,,,"Euro 174,500.00",Consultancy
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Technical Services to Undertake Machining Works on Wartsila Engine A6 at Roche Caiman Power Plant,Wartsila Eastern Africa Ltd,,,,"Euro 50,566.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Sensors,Engginium International FZC,,,,"Euro 42,040.08",Other
Tender Award (JANUARY – APRIL 2021),Seychelles Agricultural Agency,"Construction of a New Farm Road at Helvetia, La Misere – Variation Works",Belvedere Builders,229049.32,SR,,"SR229,049.32",Roads & seawalls
Tender Award (JANUARY – APRIL 2021),Seychelles Fishing Authority,Procurement of Nemo STVU Terminals,Kingsgate Electronic Services,,,,"Euro 212,445.00",Other
Tender Award (JANUARY – APRIL 2021),Public Utilities Corporation,Procurement of Fuel Injection Spares for 18V32LN Engines,Engginium International FZC,,,,"Euro 36,771.32",Other
Tender Award (JANUARY – APRIL 2021),Seychelles Ports Authority,Procurement of Consultancy Services for the Engineering and Design for the Development of Eve Annex Island Praslin,GIBB Seychelles Ltd,7480500.0,SR,,"SR7,480,500.00",Consultancy
Tender Award (JANUARY – APRIL 2021),Seychelles Land Transport Agency,Procurement of 3000 Streetlights – Additional Cost,Delight Distribution Pty Ltd,358827.36,SR,,"SR358,827.36",Transport
Tender Award (JANUARY – APRIL 2021),Health Care Agency,Procurement of Security Services for Seychelles Hospital – Extension of Contract,B & N Security,270088.0,SR,,"SR270,088",Health
Tender Award (JANUARY – APRIL 2021),Health Care Agency,Procurement of Security Services for Seychelles Hospital – Extension of Contract,24/17 Company Limited,250796.0,SR,,"SR 250,796.00",Health
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Active Protection Services,838682.0,SR,,"SR838,682.00 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Alliance Security,2091954.1,SR,,"SR2,091,954.1(6 mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,General Security,1379376.88,SR,,"SR1,379,376.88 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Secure R U S,2618429.08,SR,,"SR2,618,429.08 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Ace Security Services,3045182.92,SR,,"SR3,045,182.92 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Pegasus Security Co.,2095122.84,SR,,"SR2,095,122.84 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Security Protection Services,1677629.88,SR,,"SR1,677,629.88 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Express Security Agency,1357529.62,SR,,"SR1,357,529.62 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Storm Alarm & Security Services,1048253.86,SR,,"SR1,048,253.86 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Xtreme Security Services,1654231.12,SR,,"SR1,654,231.12 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Stronghold Security,2159674.36,SR,,"SR2,159,674.36 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,Guard Amour Security,1400771.96,SR,,"SR1,400,771.96 (6mths)",Education
Tender Award (JANUARY – APRIL 2021),Technical Section Services,Procurement of Security Services for Ministry of Health/Education/Local Govt.,DIQQA,1337337.16,SR,,"SR1,337,337.16 (6mths)",Education
